list1,list2,Var3,Var4
1,,6,anillo
0,,6,invitaci�n
8,,6,compromiso
2,,6,esposa
0,,6,vestido
7,,6,nupcias
0,,6,familia
5,po,6,novia
4,,6,boda
0,,6,matrimonio
6,,6,marido
3,cp,6,aniversario
0,,6,padrino
0,,6,velo
