list1,list2,Var3,Var4
0,,1,monasterio
0,,1,coro
3,,1,capilla
6,,1,comuni�n
0,,1,ministro
0,,1,clero
2,cp,1,ceremonia
0,,1,entrega
0,,1,campanario
1,,1,convento
4,,1,dios
5,po,1,fe
0,,1,catedral
0,,1,piano
