subject,recall,item_who,word_who,list,soa,listtype
17,0,oddball,violacion,26,6,emotional
17,1,oddball,sufrimiento,28,3,emotional
17,0,oddball,crimen,29,1,emotional
17,0,oddball,ahogado,30,1,emotional
17,1,oddball,terrorista,36,6,emotional
17,0,oddball,ceguera,37,4,emotional
17,0,oddball,paraplejico,38,2,emotional
18,1,oddball,morgue,3,3,emotional
18,1,oddball,terrorista,7,4,emotional
18,1,oddball,amputacion,8,2,emotional
18,1,oddball,tumor,10,6,emotional
18,1,oddball,suicida,11,2,emotional
18,0,oddball,nazi,12,1,emotional
18,1,oddball,asfixia,17,3,emotional
18,0,oddball,ahogado,20,3,emotional
18,1,oddball,sida,21,4,emotional
18,0,oddball,plaga,22,1,emotional
18,1,oddball,ceguera,24,2,emotional
18,1,oddball,violacion,26,6,emotional
18,1,oddball,sufrimiento,28,4,emotional
18,1,oddball,traidor,29,1,emotional
18,1,oddball,paraplejico,30,2,emotional
18,1,oddball,cancer,32,6,emotional
18,1,oddball,masacre,34,4,emotional
18,1,oddball,crimen,36,1,emotional
18,1,oddball,hambruna,37,3,emotional
18,1,oddball,asesino,38,6,emotional
19,0,oddball,sida,1,3,emotional
19,0,oddball,masacre,2,1,emotional
19,0,oddball,asfixia,3,4,emotional
19,1,oddball,amputacion,5,3,emotional
19,1,oddball,suicida,7,4,emotional
19,1,oddball,violacion,10,2,emotional
19,0,oddball,sufrimiento,14,3,emotional
19,1,oddball,asesino,16,4,emotional
19,1,oddball,traidor,17,2,emotional
19,0,oddball,ceguera,18,1,emotional
19,0,oddball,crimen,20,3,emotional
19,1,oddball,tumor,23,2,emotional
19,1,oddball,ahogado,25,6,emotional
19,1,oddball,terrorista,27,1,emotional
19,0,oddball,plaga,30,6,emotional
19,0,oddball,hambruna,32,1,emotional
19,1,oddball,paraplejico,33,4,emotional
19,1,oddball,nazi,36,2,emotional
19,1,oddball,cancer,37,6,emotional
19,0,oddball,morgue,38,6,emotional
20,1,oddball,violacion,5,6,emotional
20,0,oddball,masacre,6,1,emotional
20,1,oddball,asfixia,7,3,emotional
20,0,oddball,traidor,9,1,emotional
20,1,oddball,ahogado,12,6,emotional
20,0,oddball,morgue,13,3,emotional
20,0,oddball,paraplejico,16,3,emotional
20,0,oddball,plaga,20,2,emotional
20,1,oddball,sida,21,4,emotional
20,1,oddball,hambruna,22,4,emotional
20,1,oddball,suicida,23,3,emotional
20,1,oddball,terrorista,26,4,emotional
20,1,oddball,cancer,27,4,emotional
20,0,oddball,ceguera,31,1,emotional
20,0,oddball,nazi,32,2,emotional
20,1,oddball,sufrimiento,34,1,emotional
20,1,oddball,amputacion,36,6,emotional
20,1,oddball,crimen,37,6,emotional
20,0,oddball,tumor,39,2,emotional
20,0,oddball,asesino,40,2,emotional
21,0,oddball,hambruna,3,1,emotional
21,1,oddball,amputacion,4,2,emotional
21,1,oddball,nazi,7,6,emotional
21,0,oddball,crimen,8,4,emotional
21,0,oddball,sida,10,3,emotional
21,1,oddball,suicida,12,6,emotional
21,0,oddball,tumor,14,4,emotional
21,1,oddball,asfixia,15,1,emotional
21,1,oddball,violacion,16,4,emotional
21,0,oddball,traidor,20,2,emotional
21,0,oddball,ahogado,23,2,emotional
21,1,oddball,plaga,25,6,emotional
21,1,oddball,sufrimiento,27,3,emotional
21,1,oddball,morgue,28,2,emotional
21,1,oddball,masacre,29,4,emotional
21,0,oddball,terrorista,30,1,emotional
21,0,oddball,asesino,31,6,emotional
21,0,oddball,ceguera,32,3,emotional
21,0,oddball,paraplejico,36,1,emotional
21,1,oddball,cancer,40,3,emotional
22,0,oddball,asfixia,1,6,emotional
22,1,oddball,morgue,2,4,emotional
22,1,oddball,nazi,3,6,emotional
22,0,oddball,ahogado,5,1,emotional
22,1,oddball,traidor,7,2,emotional
22,1,oddball,masacre,9,2,emotional
22,1,oddball,asesino,10,4,emotional
22,0,oddball,paraplejico,13,3,emotional
22,0,oddball,crimen,16,1,emotional
22,1,oddball,tumor,17,6,emotional
22,0,oddball,hambruna,21,1,emotional
22,1,oddball,sufrimiento,22,2,emotional
22,1,oddball,sida,26,3,emotional
22,0,oddball,ceguera,27,3,emotional
22,1,oddball,amputacion,31,1,emotional
22,0,oddball,terrorista,32,4,emotional
22,1,oddball,violacion,33,6,emotional
22,1,oddball,plaga,34,4,emotional
22,1,oddball,suicida,36,2,emotional
22,1,oddball,cancer,40,3,emotional
23,1,oddball,hambruna,1,4,emotional
23,1,oddball,paraplejico,2,3,emotional
23,1,oddball,violacion,3,3,emotional
23,1,oddball,traidor,5,6,emotional
23,1,oddball,ahogado,7,4,emotional
23,1,oddball,cancer,11,1,emotional
23,0,oddball,plaga,12,2,emotional
23,1,oddball,morgue,13,2,emotional
23,1,oddball,sida,14,3,emotional
23,1,oddball,amputacion,15,6,emotional
23,0,oddball,sufrimiento,17,2,emotional
23,0,oddball,asfixia,18,6,emotional
23,0,oddball,terrorista,19,2,emotional
23,0,oddball,crimen,22,4,emotional
23,0,oddball,masacre,23,6,emotional
23,0,oddball,nazi,25,1,emotional
23,0,oddball,suicida,27,4,emotional
23,0,oddball,ceguera,30,1,emotional
23,0,oddball,tumor,38,1,emotional
23,0,oddball,asesino,40,3,emotional
24,0,oddball,asesino,2,3,emotional
24,0,oddball,nazi,4,1,emotional
24,1,oddball,suicida,6,6,emotional
24,0,oddball,ceguera,7,4,emotional
24,1,oddball,ahogado,8,2,emotional
24,1,oddball,hambruna,9,4,emotional
24,0,oddball,morgue,10,4,emotional
24,1,oddball,amputacion,13,1,emotional
24,1,oddball,paraplejico,17,1,emotional
24,0,oddball,crimen,18,6,emotional
24,1,oddball,sida,20,3,emotional
24,0,oddball,cancer,21,2,emotional
24,1,oddball,violacion,23,6,emotional
24,1,oddball,plaga,24,3,emotional
24,1,oddball,sufrimiento,25,1,emotional
24,1,oddball,masacre,26,2,emotional
24,1,oddball,tumor,33,2,emotional
24,0,oddball,asfixia,37,3,emotional
24,0,oddball,traidor,38,4,emotional
24,0,oddball,terrorista,39,6,emotional
25,0,oddball,amputacion,4,6,emotional
25,0,oddball,plaga,5,1,emotional
25,1,oddball,traidor,8,3,emotional
25,0,oddball,cancer,9,6,emotional
25,0,oddball,suicida,10,6,emotional
25,0,oddball,ceguera,12,2,emotional
25,1,oddball,paraplejico,14,1,emotional
25,0,oddball,ahogado,16,3,emotional
25,1,oddball,terrorista,17,2,emotional
25,1,oddball,hambruna,18,1,emotional
25,1,oddball,sida,19,6,emotional
25,0,oddball,crimen,22,1,emotional
25,0,oddball,sufrimiento,23,2,emotional
25,1,oddball,nazi,26,3,emotional
25,1,oddball,asfixia,28,4,emotional
25,1,oddball,violacion,29,3,emotional
25,1,oddball,masacre,30,4,emotional
25,1,oddball,asesino,32,4,emotional
25,0,oddball,tumor,33,2,emotional
25,1,oddball,morgue,37,4,emotional
26,0,oddball,ceguera,1,1,emotional
26,1,oddball,sufrimiento,2,3,emotional
26,0,oddball,masacre,3,2,emotional
26,0,oddball,amputacion,4,2,emotional
26,1,oddball,crimen,5,6,emotional
26,1,oddball,hambruna,6,2,emotional
26,0,oddball,morgue,8,3,emotional
26,0,oddball,violacion,14,4,emotional
26,0,oddball,asesino,15,4,emotional
26,1,oddball,terrorista,16,6,emotional
26,1,oddball,nazi,19,1,emotional
26,0,oddball,ahogado,21,3,emotional
26,0,oddball,plaga,22,6,emotional
26,0,oddball,asfixia,24,3,emotional
26,0,oddball,tumor,25,1,emotional
26,1,oddball,suicida,26,4,emotional
26,0,oddball,traidor,28,2,emotional
26,1,oddball,sida,33,1,emotional
26,1,oddball,paraplejico,35,6,emotional
26,1,oddball,cancer,40,4,emotional
27,0,oddball,hambruna,2,4,emotional
27,1,oddball,sufrimiento,4,2,emotional
27,1,oddball,ahogado,9,6,emotional
27,0,oddball,amputacion,10,2,emotional
27,1,oddball,plaga,11,2,emotional
27,1,oddball,terrorista,12,1,emotional
27,1,oddball,ceguera,13,6,emotional
27,1,oddball,sida,14,3,emotional
27,1,oddball,asesino,15,3,emotional
27,0,oddball,cancer,17,4,emotional
27,1,oddball,violacion,19,6,emotional
27,1,oddball,crimen,20,3,emotional
27,1,oddball,suicida,21,4,emotional
27,1,oddball,morgue,26,1,emotional
27,1,oddball,tumor,27,1,emotional
27,1,oddball,traidor,29,6,emotional
27,1,oddball,asfixia,30,3,emotional
27,1,oddball,nazi,32,1,emotional
27,0,oddball,masacre,36,2,emotional
27,0,oddball,paraplejico,38,4,emotional
28,0,oddball,violacion,1,2,emotional
28,1,oddball,sida,4,6,emotional
28,1,oddball,cancer,5,4,emotional
28,1,oddball,plaga,6,4,emotional
28,1,oddball,nazi,7,1,emotional
28,0,oddball,paraplejico,9,6,emotional
28,1,oddball,amputacion,12,6,emotional
28,0,oddball,sufrimiento,13,1,emotional
28,1,oddball,morgue,17,3,emotional
28,0,oddball,traidor,19,4,emotional
28,1,oddball,terrorista,20,6,emotional
28,1,oddball,crimen,22,1,emotional
28,0,oddball,tumor,23,3,emotional
28,0,oddball,masacre,25,2,emotional
28,0,oddball,ceguera,26,2,emotional
28,1,oddball,hambruna,28,3,emotional
28,1,oddball,suicida,30,3,emotional
28,0,oddball,asfixia,35,2,emotional
28,1,oddball,asesino,37,4,emotional
28,1,oddball,ahogado,40,1,emotional
29,0,oddball,hambruna,1,6,emotional
29,0,oddball,cancer,2,1,emotional
29,1,oddball,sida,4,3,emotional
29,1,oddball,nazi,7,6,emotional
29,1,oddball,paraplejico,13,6,emotional
29,1,oddball,tumor,14,4,emotional
29,1,oddball,ahogado,15,2,emotional
29,1,oddball,terrorista,16,1,emotional
29,1,oddball,morgue,17,6,emotional
29,1,oddball,suicida,18,3,emotional
29,1,oddball,masacre,19,2,emotional
29,1,oddball,traidor,21,3,emotional
29,0,oddball,ceguera,23,4,emotional
29,1,oddball,crimen,24,2,emotional
29,1,oddball,violacion,25,3,emotional
29,1,oddball,plaga,26,4,emotional
29,1,oddball,asfixia,27,2,emotional
29,1,oddball,sufrimiento,28,1,emotional
29,1,oddball,amputacion,29,1,emotional
29,0,oddball,asesino,40,4,emotional
30,0,oddball,hambruna,1,1,emotional
30,0,oddball,amputacion,2,2,emotional
30,1,oddball,ceguera,6,3,emotional
30,1,oddball,paraplejico,7,4,emotional
30,1,oddball,sida,8,6,emotional
30,0,oddball,plaga,10,1,emotional
30,1,oddball,cancer,11,3,emotional
30,0,oddball,traidor,13,4,emotional
30,1,oddball,terrorista,14,1,emotional
30,0,oddball,ahogado,16,2,emotional
30,1,oddball,violacion,21,3,emotional
30,0,oddball,masacre,23,6,emotional
30,1,oddball,asesino,27,4,emotional
30,0,oddball,morgue,30,3,emotional
30,1,oddball,nazi,31,4,emotional
30,0,oddball,sufrimiento,34,6,emotional
30,1,oddball,asfixia,35,6,emotional
30,0,oddball,tumor,37,1,emotional
30,0,oddball,suicida,38,2,emotional
30,0,oddball,crimen,39,2,emotional
31,1,oddball,violacion,3,2,emotional
31,1,oddball,sida,4,6,emotional
31,1,oddball,terrorista,5,1,emotional
31,1,oddball,sufrimiento,7,1,emotional
31,1,oddball,crimen,10,1,emotional
31,1,oddball,cancer,13,3,emotional
31,0,oddball,tumor,15,1,emotional
31,1,oddball,ahogado,17,6,emotional
31,1,oddball,suicida,18,3,emotional
31,1,oddball,ceguera,19,4,emotional
31,1,oddball,plaga,20,6,emotional
31,1,oddball,asfixia,21,4,emotional
31,1,oddball,hambruna,23,4,emotional
31,1,oddball,traidor,28,3,emotional
31,0,oddball,morgue,32,2,emotional
31,1,oddball,nazi,33,2,emotional
31,1,oddball,paraplejico,36,4,emotional
31,0,oddball,amputacion,38,6,emotional
31,0,oddball,masacre,39,3,emotional
31,0,oddball,asesino,40,2,emotional
32,1,oddball,amputacion,1,4,emotional
32,0,oddball,asesino,2,1,emotional
32,1,oddball,crimen,3,3,emotional
32,0,oddball,sufrimiento,5,3,emotional
32,0,oddball,sida,10,2,emotional
32,0,oddball,ceguera,11,2,emotional
32,1,oddball,masacre,13,2,emotional
32,1,oddball,traidor,14,6,emotional
32,0,oddball,ahogado,16,1,emotional
32,1,oddball,morgue,17,4,emotional
32,0,oddball,asfixia,22,1,emotional
32,1,oddball,suicida,24,1,emotional
32,0,oddball,hambruna,25,6,emotional
32,1,oddball,violacion,26,3,emotional
32,1,oddball,cancer,34,6,emotional
32,1,oddball,plaga,35,4,emotional
32,1,oddball,paraplejico,36,4,emotional
32,1,oddball,terrorista,37,2,emotional
32,1,oddball,nazi,38,3,emotional
32,1,oddball,tumor,40,6,emotional
33,1,oddball,paraplejico,2,3,emotional
33,0,oddball,ahogado,7,1,emotional
33,1,oddball,ceguera,8,4,emotional
33,1,oddball,sufrimiento,10,1,emotional
33,0,oddball,asesino,11,4,emotional
33,1,oddball,masacre,13,2,emotional
33,1,oddball,nazi,15,6,emotional
33,1,oddball,suicida,16,4,emotional
33,1,oddball,crimen,18,3,emotional
33,1,oddball,sida,19,1,emotional
33,1,oddball,violacion,22,2,emotional
33,1,oddball,cancer,23,2,emotional
33,1,oddball,morgue,24,1,emotional
33,0,oddball,amputacion,26,3,emotional
33,1,oddball,asfixia,28,2,emotional
33,0,oddball,terrorista,29,6,emotional
33,1,oddball,hambruna,30,6,emotional
33,0,oddball,plaga,34,4,emotional
33,1,oddball,traidor,35,3,emotional
33,1,oddball,tumor,36,6,emotional
34,0,oddball,crimen,2,4,emotional
34,0,oddball,ceguera,3,4,emotional
34,1,oddball,terrorista,4,6,emotional
34,1,oddball,morgue,7,3,emotional
34,1,oddball,violacion,9,4,emotional
34,1,oddball,amputacion,10,3,emotional
34,0,oddball,sida,12,1,emotional
34,0,oddball,masacre,14,4,emotional
34,1,oddball,tumor,15,6,emotional
34,1,oddball,sufrimiento,21,2,emotional
34,1,oddball,suicida,24,1,emotional
34,1,oddball,nazi,25,6,emotional
34,0,oddball,asfixia,26,2,emotional
34,1,oddball,ahogado,30,1,emotional
34,0,oddball,hambruna,31,2,emotional
34,1,oddball,plaga,33,6,emotional
34,1,oddball,traidor,35,3,emotional
34,1,oddball,cancer,38,1,emotional
34,1,oddball,paraplejico,39,2,emotional
34,1,oddball,asesino,40,3,emotional
35,1,oddball,ceguera,1,4,emotional
35,1,oddball,crimen,2,4,emotional
35,1,oddball,suicida,3,1,emotional
35,0,oddball,hambruna,8,2,emotional
35,1,oddball,traidor,10,3,emotional
35,1,oddball,ahogado,11,1,emotional
35,1,oddball,sufrimiento,13,3,emotional
35,0,oddball,paraplejico,14,1,emotional
35,0,oddball,asesino,18,2,emotional
35,1,oddball,cancer,19,4,emotional
35,1,oddball,nazi,20,2,emotional
35,0,oddball,violacion,21,3,emotional
35,1,oddball,tumor,22,6,emotional
35,1,oddball,sida,26,2,emotional
35,1,oddball,terrorista,32,3,emotional
35,0,oddball,plaga,34,4,emotional
35,1,oddball,amputacion,35,6,emotional
35,1,oddball,morgue,37,6,emotional
35,1,oddball,asfixia,38,6,emotional
35,0,oddball,masacre,40,1,emotional
36,1,oddball,terrorista,1,2,emotional
36,1,oddball,masacre,6,6,emotional
36,1,oddball,sufrimiento,8,3,emotional
36,0,oddball,traidor,11,1,emotional
36,1,oddball,asesino,12,2,emotional
36,0,oddball,plaga,14,3,emotional
36,1,oddball,ahogado,15,3,emotional
36,0,oddball,amputacion,16,1,emotional
36,1,oddball,nazi,17,1,emotional
36,1,oddball,hambruna,18,4,emotional
36,0,oddball,morgue,19,2,emotional
36,1,oddball,asfixia,23,6,emotional
36,1,oddball,cancer,24,6,emotional
36,1,oddball,ceguera,26,4,emotional
36,1,oddball,violacion,29,6,emotional
36,0,oddball,sida,31,1,emotional
36,1,oddball,suicida,32,4,emotional
36,0,oddball,tumor,35,2,emotional
36,1,oddball,paraplejico,36,4,emotional
36,0,oddball,crimen,39,3,emotional
37,1,oddball,morgue,4,4,emotional
37,1,oddball,traidor,6,3,emotional
37,1,oddball,nazi,10,6,emotional
37,1,oddball,sida,11,1,emotional
37,0,oddball,cancer,13,4,emotional
37,1,oddball,asfixia,14,3,emotional
37,0,oddball,asesino,15,4,emotional
37,1,oddball,amputacion,16,2,emotional
37,1,oddball,ahogado,17,4,emotional
37,1,oddball,plaga,19,6,emotional
37,0,oddball,terrorista,20,1,emotional
37,1,oddball,hambruna,25,6,emotional
37,1,oddball,tumor,26,3,emotional
37,0,oddball,crimen,27,1,emotional
37,1,oddball,paraplejico,28,2,emotional
37,1,oddball,suicida,30,2,emotional
37,0,oddball,violacion,32,2,emotional
37,1,oddball,ceguera,34,6,emotional
37,1,oddball,masacre,35,1,emotional
37,0,oddball,sufrimiento,37,3,emotional
38,0,oddball,ceguera,2,6,emotional
38,0,oddball,crimen,5,2,emotional
38,1,oddball,terrorista,7,1,emotional
38,1,oddball,asesino,10,3,emotional
38,0,oddball,masacre,11,3,emotional
38,0,oddball,tumor,12,4,emotional
38,1,oddball,suicida,13,4,emotional
38,1,oddball,sida,18,3,emotional
38,1,oddball,hambruna,19,6,emotional
38,1,oddball,paraplejico,20,6,emotional
38,1,oddball,asfixia,22,2,emotional
38,0,oddball,amputacion,26,3,emotional
38,1,oddball,violacion,27,1,emotional
38,0,oddball,plaga,28,2,emotional
38,0,oddball,sufrimiento,29,4,emotional
38,1,oddball,cancer,31,1,emotional
38,1,oddball,nazi,33,2,emotional
38,0,oddball,traidor,34,4,emotional
38,0,oddball,ahogado,36,6,emotional
38,1,oddball,morgue,38,1,emotional
39,1,oddball,suicida,4,2,emotional
39,1,oddball,ceguera,5,4,emotional
39,0,oddball,plaga,6,3,emotional
39,1,oddball,violacion,9,1,emotional
39,1,oddball,crimen,11,4,emotional
39,1,oddball,tumor,12,4,emotional
39,1,oddball,sufrimiento,13,2,emotional
39,1,oddball,paraplejico,14,3,emotional
39,1,oddball,masacre,16,6,emotional
39,1,oddball,ahogado,17,6,emotional
39,0,oddball,terrorista,20,4,emotional
39,1,oddball,traidor,22,1,emotional
39,0,oddball,asfixia,23,2,emotional
39,1,oddball,hambruna,26,3,emotional
39,1,oddball,morgue,27,6,emotional
39,1,oddball,asesino,34,2,emotional
39,1,oddball,nazi,36,6,emotional
39,1,oddball,amputacion,38,3,emotional
