subject,CRPmean,oddballtype,transition,direction,item_type
9,0.269047619047619,E,to,backwards,oddball
10,0.236666666666667,E,to,backwards,oddball
11,0.142857142857143,E,to,backwards,oddball
12,0.263333333333333,E,to,backwards,oddball
14,0.5,E,to,backwards,oddball
15,0.273333333333333,E,to,backwards,oddball
16,0.308333333333333,E,to,backwards,oddball
17,0.0625,E,to,backwards,oddball
18,0.276904761904762,E,to,backwards,oddball
19,0.3,E,to,backwards,oddball
20,0.666666666666667,E,to,backwards,oddball
21,0.05,E,to,backwards,oddball
22,0.3,E,to,backwards,oddball
23,0.3,E,to,backwards,oddball
24,0.0833333333333333,E,to,backwards,oddball
25,0.291666666666667,E,to,backwards,oddball
26,0.375,E,to,backwards,oddball
27,0.242857142857143,E,to,backwards,oddball
28,0.166666666666667,E,to,backwards,oddball
29,0.366666666666667,E,to,backwards,oddball
30,0.291666666666667,E,to,backwards,oddball
31,0.156666666666667,E,to,backwards,oddball
32,0.25,E,to,backwards,oddball
33,0.444444444444444,E,to,backwards,oddball
34,0.323809523809524,E,to,backwards,oddball
35,0.161904761904762,E,to,backwards,oddball
36,0.3,E,to,backwards,oddball
37,0.09,E,to,backwards,oddball
38,0.729166666666667,E,to,backwards,oddball
39,0.311904761904762,E,to,backwards,oddball
40,0.55,E,to,backwards,oddball
41,0,E,to,backwards,oddball
42,0.158333333333333,E,to,backwards,oddball
43,0.326666666666667,E,to,backwards,oddball
44,0.5,E,to,backwards,oddball
45,0.341666666666667,E,to,backwards,oddball
46,0.0666666666666667,E,to,backwards,oddball
47,0.533333333333333,E,to,backwards,oddball
48,0.333333333333333,E,to,backwards,oddball
49,0.34,E,to,backwards,oddball
50,0.337142857142857,E,to,backwards,oddball
51,0.326666666666667,E,to,backwards,oddball
52,0.166666666666667,E,to,backwards,oddball
53,0.2,E,to,backwards,oddball
54,0.133333333333333,E,to,backwards,oddball
55,0.166666666666667,E,to,backwards,oddball
56,0.2,E,to,backwards,oddball
57,0.625,E,to,backwards,oddball
58,0.25,E,to,backwards,oddball
59,0.275,E,to,backwards,oddball
60,0.375,E,to,backwards,oddball
61,0.444444444444444,E,to,backwards,oddball
62,0,E,to,backwards,oddball
63,0.15,E,to,backwards,oddball
64,0.216666666666667,E,to,backwards,oddball
65,0.333333333333333,E,to,backwards,oddball
66,0.183333333333333,E,to,backwards,oddball
67,0.346666666666667,E,to,backwards,oddball
68,0.216666666666667,E,to,backwards,oddball
69,0.18,E,to,backwards,oddball
70,0.1875,E,to,backwards,oddball
71,0.5,E,to,backwards,oddball
72,0.133333333333333,E,to,backwards,oddball
73,0.333333333333333,E,to,backwards,oddball
74,0.5,E,to,backwards,oddball
75,0.333333333333333,E,to,backwards,oddball
4,0.1875,E,to,forwards,oddball
5,0.266666666666667,E,to,forwards,oddball
6,0.0666666666666667,E,to,forwards,oddball
7,0.366666666666667,E,to,forwards,oddball
9,0.16,E,to,forwards,oddball
10,0.146666666666667,E,to,forwards,oddball
11,0.206349206349206,E,to,forwards,oddball
12,0.214285714285714,E,to,forwards,oddball
14,0.0971428571428571,E,to,forwards,oddball
15,0.105,E,to,forwards,oddball
16,0.106666666666667,E,to,forwards,oddball
17,0.233333333333333,E,to,forwards,oddball
18,0.204285714285714,E,to,forwards,oddball
19,0.383333333333333,E,to,forwards,oddball
20,0.2,E,to,forwards,oddball
21,0.236666666666667,E,to,forwards,oddball
22,0.195555555555556,E,to,forwards,oddball
23,0.15,E,to,forwards,oddball
24,0.375,E,to,forwards,oddball
25,0.3,E,to,forwards,oddball
26,0.175,E,to,forwards,oddball
27,0.185238095238095,E,to,forwards,oddball
28,0.133333333333333,E,to,forwards,oddball
29,0.266666666666667,E,to,forwards,oddball
30,0.266666666666667,E,to,forwards,oddball
31,0.219047619047619,E,to,forwards,oddball
32,0.23047619047619,E,to,forwards,oddball
33,0.206666666666667,E,to,forwards,oddball
34,0.14375,E,to,forwards,oddball
35,0.17478354978355,E,to,forwards,oddball
36,0.15,E,to,forwards,oddball
37,0.357142857142857,E,to,forwards,oddball
38,0.208333333333333,E,to,forwards,oddball
39,0.25,E,to,forwards,oddball
40,0.25,E,to,forwards,oddball
41,0.2,E,to,forwards,oddball
42,0.250238095238095,E,to,forwards,oddball
43,0.316666666666667,E,to,forwards,oddball
44,0.333333333333333,E,to,forwards,oddball
45,0.18,E,to,forwards,oddball
46,0.273333333333333,E,to,forwards,oddball
47,0.1,E,to,forwards,oddball
48,0,E,to,forwards,oddball
49,0.216666666666667,E,to,forwards,oddball
50,0.153333333333333,E,to,forwards,oddball
51,0.15,E,to,forwards,oddball
52,0.3,E,to,forwards,oddball
53,0.266666666666667,E,to,forwards,oddball
54,0.259047619047619,E,to,forwards,oddball
55,0.266666666666667,E,to,forwards,oddball
56,0.296666666666667,E,to,forwards,oddball
57,0.266666666666667,E,to,forwards,oddball
58,0.206666666666667,E,to,forwards,oddball
59,0.04,E,to,forwards,oddball
60,0.5,E,to,forwards,oddball
61,0.25,E,to,forwards,oddball
62,0.233333333333333,E,to,forwards,oddball
63,0.275714285714286,E,to,forwards,oddball
64,0.313333333333333,E,to,forwards,oddball
65,0.19,E,to,forwards,oddball
66,0.216666666666667,E,to,forwards,oddball
67,0.216666666666667,E,to,forwards,oddball
68,0.123809523809524,E,to,forwards,oddball
69,0.188888888888889,E,to,forwards,oddball
70,0.166666666666667,E,to,forwards,oddball
71,0.25,E,to,forwards,oddball
72,0.416666666666667,E,to,forwards,oddball
73,0.416666666666667,E,to,forwards,oddball
74,0.666666666666667,E,to,forwards,oddball
75,0.1,E,to,forwards,oddball
4,0.1,E,from,backwards,oddball
5,0.5,E,from,backwards,oddball
6,0.166666666666667,E,from,backwards,oddball
7,0.4375,E,from,backwards,oddball
9,0.05,E,from,backwards,oddball
10,0.433333333333333,E,from,backwards,oddball
11,0.38,E,from,backwards,oddball
12,0.666666666666667,E,from,backwards,oddball
14,0.106666666666667,E,from,backwards,oddball
15,0.54,E,from,backwards,oddball
16,0.333333333333333,E,from,backwards,oddball
17,0.1,E,from,backwards,oddball
18,0.2,E,from,backwards,oddball
19,0.25,E,from,backwards,oddball
20,0.233333333333333,E,from,backwards,oddball
21,0.333333333333333,E,from,backwards,oddball
22,0.3,E,from,backwards,oddball
23,0.3125,E,from,backwards,oddball
24,0.3,E,from,backwards,oddball
25,0.35,E,from,backwards,oddball
26,0.625,E,from,backwards,oddball
27,0.523333333333333,E,from,backwards,oddball
28,0.1,E,from,backwards,oddball
29,0.223333333333333,E,from,backwards,oddball
30,0.25,E,from,backwards,oddball
31,0.313333333333333,E,from,backwards,oddball
32,0.1,E,from,backwards,oddball
33,0.1875,E,from,backwards,oddball
34,0.3,E,from,backwards,oddball
35,0.366666666666667,E,from,backwards,oddball
36,0.263333333333333,E,from,backwards,oddball
37,0.6,E,from,backwards,oddball
38,0.04,E,from,backwards,oddball
39,0.243809523809524,E,from,backwards,oddball
40,0.298333333333333,E,from,backwards,oddball
41,0.19,E,from,backwards,oddball
42,0.2,E,from,backwards,oddball
43,0.192857142857143,E,from,backwards,oddball
44,0.458333333333333,E,from,backwards,oddball
45,0.3,E,from,backwards,oddball
46,0.3,E,from,backwards,oddball
47,0.18,E,from,backwards,oddball
48,0.1,E,from,backwards,oddball
49,0.373333333333333,E,from,backwards,oddball
50,0.5,E,from,backwards,oddball
51,0.316666666666667,E,from,backwards,oddball
52,0.6,E,from,backwards,oddball
53,0.5,E,from,backwards,oddball
54,0.166666666666667,E,from,backwards,oddball
55,0.166666666666667,E,from,backwards,oddball
56,0.375,E,from,backwards,oddball
57,0.333333333333333,E,from,backwards,oddball
58,0.666666666666667,E,from,backwards,oddball
59,0.233333333333333,E,from,backwards,oddball
60,0.26,E,from,backwards,oddball
61,0.183333333333333,E,from,backwards,oddball
