word,mean,sd
puente,2.867,1.685
puerto,2.667,2.289
pulmon,1.933,2.219
puntilla,0,1.464
quimico,2.933,1.71
radio,2.733,2.12
raiz,2.867,2.295
rascacielos,2.467,1.506
raton,0,3.024
razon,3.467,2.232
receptor,0.933,2.576
recostarse,3.133,1.885
reflectante,0.667,2.498
regla,0.867,2.532
reina,-1.667,2.895
relacion,2.933,1.58
relajarse,4.067,1.534
reloj,1.467,2.615
reportero,1.533,2.031
resolucion,1.067,2.685
respiracion,3.6,2.063
restaurante,3.4,1.844
reunion,1.533,1.846
revista,1.267,2.086
rio,3.467,1.922
roca,0.667,2.024
roce,2.133,2.997
ruta,2.667,2.32
sabana,2.2,1.74
saliva,0.8,2.883
salmon ,2.867,2.475
sardina,2.333,2.38
semilla,3.533,1.995
senal,0.667,1.988
sensacion,3.2,2.007
sensibilidad,2.933,2.12
ser,2.533,2.386
sida,-5.6,1.056
siesta,3.133,2.973
silencioso,2.733,2.52
sillon,3.533,2.2
simposio,1.533,2.2
soberano,-2.867,2.416
socio,2.6,2.131
sol,4.2,1.656
solarium,2.133,2.2
sonido,2.267,1.87
sopa,2.667,1.799
soplo,0.267,2.789
sotano,-0.8,3.144
suelo,1.4,1.502
sueno,2.8,3.167
sufrimiento,-5.133,1.125
suicida,-5.533,0.915
sujeto,-0.267,1.792
superficie,1.133,2.264
tabla,0.867,1.302
teatro,3.2,2.007
tecnico,0.933,1.71
tejado,1.333,2.16
temperatura,1.533,2.232
templado,3,1.852
terciopelo,2.867,2.9
terminal,1.467,3.159
terreno,1.4,2.694
terrorista,-5.333,2.582
texto,1.2,1.781
textura,1.867,1.959
tierra,3.667,2.717
tijeras,1,2.171
tipo,0.4,2.293
titulo,1.933,2.738
tobillo,0.6,2.23
tono,0.6,2.131
torneo,1.733,2.086
tornillo,0.467,1.995
torre,2.2,1.897
tortuga,2.4,2.667
trabajo,1.933,2.963
tractor,1.933,2.344
trafico,-3.4,2.261
traidor,-4.133,2.85
trama,2.267,2.314
transaccion,0.867,3.091
transferencia,1.4,2.874
transmission,-2.2,2.808
tranvia,2.067,2.187
trastero,0.2,2.484
tren,2.8,2.305
tribuna,1.133,2.722
trigo,1.933,2.086
trineo,2.667,1.952
trucha,1.133,2.446
tuerca,0.2,2.597
tumor,-5.867,0.352
uniforme,0.467,2.532
universidad,3.4,2.694
universo,3.867,2.167
vaho,0.667,2.38
vapor,2.333,1.839
velo,-0.467,2.748
ventana,2.4,1.298
ventilacion,3.067,1.792
vestido,2.333,2.469
viaje,4.2,2.178
vibracion,0.867,2.446
vida,5.067,1.624
video,2.2,3.028
viento,2,3.094
violacion,-5.533,0.915
visado,-0.867,3.067
vision,2.4,2.473
visitante,2.733,1.981
vista,2.6,2.444
vivienda,2.867,2.588
vocacion,4.133,2.1
volumen,1.333,1.988
voz,2.467,1.767
