word,mean,sd
hambruna,6.929,3.149
hamster,9,1.797
harina,8.643,1.277
herramienta,9.214,1.251
hielo,8.714,1.49
hierro,8.429,2.472
hijo,9,2.66
hilo,8.214,1.188
hincha,8.357,1.737
historia,9.286,1.139
hombre,3.357,3.775
hombro,8.929,2.018
horno,7.714,2.894
humanidad,8.286,2.016
huron ,7,2.717
idioma,8.786,1.626
imaginacion,8.714,1.816
importacion,7.214,2.293
imprenta,8.357,2.405
incisivo,8.786,1.968
individuo,7.643,3.104
ingeniero,9.214,1.424
ingenio,8.857,1.351
inhalacion,9.643,0.497
inmigracion,7.929,2.868
inquilino,8.786,1.528
instrucci—n,7.643,1.598
inteligencia,9.429,1.089
intercambio,8.571,1.604
invierno,9.786,0.426
invitacion,8.143,1.916
invitados,7.5,3.032
jardinero,8.143,1.834
jefe,8.143,2.248
juego,9.214,1.188
jugador,9.429,1.089
lago,9,1.177
lancha,8.071,1.817
leccion,8.714,1.383
legislacion,9.071,1.639
ley,9.214,1.369
leyenda,4.929,2.786
libro,9.714,0.611
lider,9.286,1.139
loro,8.286,2.644
lugareno,8.286,2.758
luminoso,9.286,1.858
luna,8.143,2.381
lupa,6.5,2.981
luz,9.643,0.842
madera,8.571,1.284
madre,9.786,0.579
maestro,8.857,1.916
maiz ,9.071,1.269
maizal,9.214,0.975
mandibula,9.214,0.975
mano,9.214,1.888
mansion,7.786,2.694
manta,9.5,0.76
mantenimiento,6.143,3.207
mar,9,1.177
marido,9.429,1.089
marques,7.286,3.292
martillo,9.071,1.492
masacre,3.214,3.641
mascota,9.357,1.865
matrimonio,9.643,0.842
matrona,9.071,0.917
meditacion,7.786,1.762
mediterraneo,8.643,1.737
mensaje,9.429,0.938
mente,9.5,1.092
merienda,9.286,1.437
metal,7.786,2.577
metro,8.357,2.098
ministro,4.643,4.069
mirada,8.143,1.834
molar,9.214,1.051
monarquia,8.429,2.793
monasterio,7.786,2.94
monticulo,7.071,2.895
morgue,3.786,3.725
motana,9.429,0.756
moto,9.571,1.089
movimiento,9.071,0.997
mujer,8.571,1.555
muneca,8.714,1.899
murmullo,6.214,3.49
muslo,8.857,1.956
nacimiento,9,1.301
nacion,7.786,2.424
nacionalidad,8.929,1.269
nadador,7.714,2.128
nariz,9.071,1.207
natal,7.857,3.009
naturaleza,9.714,0.825
nazi,2.786,3.239
nervio,6.571,2.766
neurona,9.214,1.051
nevera,6.5,2.981
nieve,9.714,0.469
nino,8.929,2.645
noble,7.286,3.124
noche,8.929,1.592
norma,9.429,0.756
noticia,9.5,0.941
novela,9.429,0.852
novia,9.429,0.852
nudillo,7.5,2.822
nupcias,8.214,2.665
observador,7.857,1.562
ocaso,7.571,2.065
oceano,8.857,1.657
ocupacion,9,1.109
oido,8.643,1.737
ojeada,7.643,2.24
ojo,8.929,2.129
ola,8.857,1.512
optica,8.214,2.517
oral,9.071,1.207
originario,8.5,1.698
orilla,8.357,1.598
oxigeno,9.714,0.611
padre,9.357,0.929
padrino,8.214,2.486
paisaje,8.786,2.359
pala,7.643,2.098
paladar,8.929,1.542
palma,7.714,2.431
panorama,6.714,2.867
pantorrilla,8.143,2.316
paraplejico,5.071,3.912
parcela,7.929,2.814
pared,8.5,1.787
parto,9.071,1.328
pasajero,7.786,2.455
pasaporte,8.929,1.492
pato,7.071,2.947
patriotismo,5.571,3.857
pausa,8.571,1.399
pauta,7.214,2.833
paz,8.714,1.383
pedagogia,8.357,2.24
pelota,9.214,1.051
pensamiento,9,2.148
pensionado,2.5,2.71
periodico,9.5,0.855
periodista,9.5,1.092
periquito,8.857,1.512
permiso,7.929,1.685
perro,9.714,0.469
persona,8.5,2.71
pez,9.857,0.363
piano,5.857,2.77
piedra,8.214,1.929
piel,8.786,1.718
pierna,9.429,0.938
pijama,8.929,1.9
piloto,8,1.359
pipa,4.786,3.704
piscina,7,2.418
piso,8.357,2.023
pista,8.714,1.437
plaga,4.786,3.309
planeta,8.929,1.328
planta,5.286,3.099
poni,7.714,2.946
porteria,9.286,1.204
portero,9.357,1.082
prado,7.143,2.179
prensa,9.643,0.633
presidente,9.071,1.385
principe,7.929,3.05
profesion,9.429,0.756
profesor,9.143,1.231
propietario,7.857,2.598
protagonista,9.214,1.122
publico,6.714,3.245
puente,7.286,3.407
puerto,8.214,1.369
pulmon,9.357,1.008
puntilla,7.5,3.345
quimico,9,1.414
radio,7.5,2.739
raiz,8.714,1.729
rascacielos,9.143,1.657
raton,6.214,3.378
razon,9.143,1.512
receptor,9.357,0.842
recostarse,8.643,1.985
reflectante,6.857,3.085
regla,8.929,1.207
reina,8.643,2.678
relacion,8.429,2.901
relajarse,9.429,1.016
reloj,7.214,2.665
reportero,9.143,1.406
resolucion,8,2.287
respiracion,9.786,0.426
restaurante,8.571,1.284
reunion,9.286,1.139
revista,9.429,0.852
rio,9.143,1.167
roca,8,2.32
roce,9.071,1.141
ruta,7.786,2.723
sabana,9.357,1.082
saliva,8.929,1.492
salmon ,8.857,1.748
sardina,9.5,0.65
semilla,9.286,1.139
senal,9,1.617
sensacion,9.429,0.852
sensibilidad,9.214,1.051
ser,6.929,3.772
sida,2.357,2.706
siesta,8.786,2.007
silencioso,8.286,2.525
sillon,8.071,2.129
simposio,8.571,1.742
soberano,8.5,2.822
socio,6.857,3.06
sol,9.643,0.633
solarium,7.214,3.017
sonido,9.429,0.852
sopa,9.071,1.328
soplo,8.214,1.718
sotano,7.071,2.526
suelo,9.357,0.745
sueno,9.214,0.975
sufrimiento,3,2.961
suicida,3.5,3.391
sujeto,7.643,2.977
superficie,7.714,2.016
tabla,8.214,1.528
teatro,6.214,3.286
tecnico,8.857,1.512
tejado,8.857,1.748
temperatura,9.143,1.351
templado,5.571,2.954
terciopelo,7.071,3.05
terminal,8.214,1.968
terreno,8.929,2.018
terrorista,3.857,3.159
texto,9.071,1.072
textura,8.357,1.737
tierra,9.214,1.369
tijeras,7.643,2.373
tipo,5.857,3.439
titulo,8,2.184
tobillo,9.071,1.269
tono,9.214,1.188
torneo,8.143,2.07
tornillo,9,1.519
torre,8.857,1.791
tortuga,8.786,1.477
trabajo,9.214,1.122
tractor,8.714,1.49
trafico,6.929,3.245
traidor,4.214,3.017
trama,9.5,0.65
transaccion,7.643,3.003
transferencia,8.929,1.207
transmission,8.643,2.098
tranvia,8.929,1.639
trastero,7.929,2.401
tren,9,1.797
tribuna,7,3.328
trigo,9.429,0.852
trineo,8.429,1.505
trucha,8.5,2.594
tuerca,8.929,1.542
tumor,4.357,3.5
uniforme,7.5,2.175
universidad,9.214,1.369
universo,8.571,1.651
vaho,6.714,2.785
vapor,5.857,2.713
velo,8.143,2.07
ventana,8.357,1.946
ventilacion,8.286,2.016
vestido,8.786,1.311
viaje,7.214,3.786
vibracion,6.929,3.075
vida,9.429,0.756
video,6.857,3.278
viento,5.857,3.009
violacion,6.571,3.056
visado,8.357,2.59
vision,8.571,2.472
visitante,8.214,2.547
vista,9.286,1.139
vivienda,9.714,0.469
vocacion,9,1.301
volumen,8.786,1.369
voz,9.071,1.639
