enc_pos,rec_pos,list_type,subject,item
7,2,emotional,10,oddball
7,,perceptual,10,oddball
8,,emotional,10,oddball
12,1,perceptual,10,oddball
8,6,emotional,10,oddball
7,9,perceptual,10,oddball
11,6,emotional,10,oddball
9,3,perceptual,10,oddball
7,6,perceptual,10,oddball
11,,emotional,10,oddball
8,1,perceptual,10,oddball
12,5,perceptual,10,oddball
7,,perceptual,10,oddball
12,,perceptual,10,oddball
7,,emotional,11,oddball
7,1,perceptual,11,oddball
7,5,emotional,11,oddball
8,,perceptual,11,oddball
7,6,perceptual,11,oddball
7,5,perceptual,11,oddball
11,3,perceptual,11,oddball
9,3,perceptual,11,oddball
7,,perceptual,11,oddball
7,9,perceptual,11,oddball
7,,emotional,11,oddball
7,7,perceptual,11,oddball
7,11,perceptual,11,oddball
12,5,emotional,11,oddball
7,,perceptual,11,oddball
7,5,perceptual,11,oddball
8,6,emotional,11,oddball
12,8,perceptual,11,oddball
7,,emotional,11,oddball
7,6,emotional,11,oddball
12,6,emotional,11,oddball
7,8,perceptual,11,oddball
12,5,emotional,11,oddball
12,12,emotional,11,oddball
11,9,perceptual,11,oddball
11,8,emotional,11,oddball
9,9,emotional,11,oddball
7,12,perceptual,11,oddball
7,9,emotional,11,oddball
11,5,emotional,11,oddball
8,1,perceptual,11,oddball
9,,emotional,11,oddball
12,8,emotional,11,oddball
12,11,emotional,11,oddball
7,7,emotional,11,oddball
7,,emotional,11,oddball
7,10,perceptual,11,oddball
11,3,emotional,11,oddball
12,,perceptual,11,oddball
8,7,perceptual,11,oddball
9,,perceptual,12,oddball
12,2,perceptual,12,oddball
7,2,perceptual,12,oddball
12,,perceptual,12,oddball
12,9,emotional,12,oddball
11,5,emotional,12,oddball
12,,perceptual,12,oddball
9,,perceptual,12,oddball
12,4,perceptual,12,oddball
7,,perceptual,12,oddball
12,3,emotional,12,oddball
9,8,emotional,12,oddball
11,8,perceptual,12,oddball
12,3,perceptual,12,oddball
8,1,perceptual,12,oddball
12,,emotional,12,oddball
8,,perceptual,12,oddball
7,8,emotional,12,oddball
12,7,emotional,12,oddball
7,,perceptual,12,oddball
8,11,emotional,12,oddball
11,,emotional,12,oddball
7,,emotional,12,oddball
8,,perceptual,12,oddball
8,6,emotional,12,oddball
9,4,emotional,12,oddball
11,7,emotional,12,oddball
12,7,emotional,12,oddball
8,9,emotional,12,oddball
7,5,perceptual,12,oddball
12,7,emotional,12,oddball
7,3,perceptual,12,oddball
12,9,emotional,12,oddball
9,7,emotional,12,oddball
