subject,age,gender,word,salience,list,rating 
1,27,F,violacion,eodd,1,-6
1,27,F,norma,neutral,1,0
1,27,F,ley,neutral,1,0
1,27,F,legislacion,neutral,1,0
1,27,F,cumplimiento,neutral,1,0
1,27,F,regla,neutral,1,0
1,27,F,consenso,neutral,1,0
1,27,F,instrucci—n,neutral,1,0
1,27,F,contrato,neutral,1,0
1,27,F,permiso,neutral,1,0
1,27,F,resolucion,neutral,1,0
1,27,F,declaracion,neutral,1,0
1,27,F,pauta,neutral,1,0
1,27,F,decision,neutral,1,0
1,27,F,nazi,eodd,2,-6
1,27,F,nacionalidad,neutral,2,0
1,27,F,cultura,neutral,2,6
1,27,F,visitante,neutral,2,0
1,27,F,natal,neutral,2,0
1,27,F,idioma,neutral,2,0
1,27,F,originario,neutral,2,0
1,27,F,extranjero,neutral,2,0
1,27,F,inmigracion,neutral,2,-4
1,27,F,pasaporte,neutral,2,0
1,27,F,patriotismo,neutral,2,-6
1,27,F,viaje,neutral,2,6
1,27,F,lugareno,neutral,2,6
1,27,F,visado,neutral,2,0
1,27,F,sufrimiento,eodd,3,-6
1,27,F,sensibilidad,neutral,3,4
1,27,F,palma,neutral,3,0
1,27,F,terciopelo,neutral,3,4
1,27,F,vibracion,neutral,3,0
1,27,F,dedo,neutral,3,0
1,27,F,piel,neutral,3,4
1,27,F,cuerpo,neutral,3,0
1,27,F,nervio,neutral,3,-3
1,27,F,sensacion,neutral,3,6
1,27,F,roce,neutral,3,6
1,27,F,superficie,neutral,3,0
1,27,F,contacto,neutral,3,4
1,27,F,textura,neutral,3,0
1,27,F,asesino,eodd,4,-6
1,27,F,ocupacion,neutral,4,0
1,27,F,profesion,neutral,4,0
1,27,F,actor,neutral,4,4
1,27,F,quimico,neutral,4,4
1,27,F,vocacion,neutral,4,6
1,27,F,abogado,neutral,4,4
1,27,F,contable,neutral,4,4
1,27,F,banquero,neutral,4,4
1,27,F,empleo,neutral,4,0
1,27,F,aprendiz,neutral,4,4
1,27,F,ingeniero,neutral,4,6
1,27,F,trabajo,neutral,4,0
1,27,F,fisico,neutral,4,4
1,27,F,asfixia,eodd,5,-6
1,27,F,oxigeno,neutral,5,6
1,27,F,respiracion,neutral,5,6
1,27,F,nariz,neutral,5,0
1,27,F,viento,neutral,5,0
1,27,F,inhalacion,neutral,5,0
1,27,F,pulmon,neutral,5,0
1,27,F,soplo,neutral,5,0
1,27,F,vapor,neutral,5,0
1,27,F,ventilacion,neutral,5,6
1,27,F,brisa,neutral,5,6
1,27,F,branquias,neutral,5,0
1,27,F,aire,neutral,5,6
1,27,F,boca,neutral,5,0
1,27,F,crimen,eodd,6,-6
1,27,F,libro,neutral,6,0
1,27,F,editor,neutral,6,0
1,27,F,protagonista,neutral,6,0
1,27,F,historia,neutral,6,6
1,27,F,novela,neutral,6,0
1,27,F,capitulo,neutral,6,0
1,27,F,texto,neutral,6,0
1,27,F,biografia,neutral,6,0
1,27,F,continuacion,neutral,6,6
1,27,F,ficcion,neutral,6,6
1,27,F,cuento,neutral,6,6
1,27,F,trama,neutral,6,0
1,27,F,autor,neutral,6,0
1,27,F,cancer,eodd,7,-6
1,27,F,dia,neutral,7,6
1,27,F,estrella,neutral,7,3
1,27,F,luz,neutral,7,6
1,27,F,energia,neutral,7,6
1,27,F,chispa,neutral,7,4
1,27,F,esplendor,neutral,7,6
1,27,F,reflectante,neutral,7,3
1,27,F,destello,neutral,7,6
1,27,F,eclipse,neutral,7,0
1,27,F,sol,neutral,7,3
1,27,F,solarium,neutral,7,0
1,27,F,luminoso,neutral,7,6
1,27,F,amanecer,neutral,7,6
1,27,F,masacre,eodd,8,-6
1,27,F,gente,neutral,8,0
1,27,F,asamblea,neutral,8,6
1,27,F,grupo,neutral,8,6
1,27,F,congreso,neutral,8,0
1,27,F,dialogo,neutral,8,6
1,27,F,comunidad,neutral,8,6
1,27,F,concentracion,neutral,8,0
1,27,F,asociacion,neutral,8,0
1,27,F,congregacion,neutral,8,0
1,27,F,concurrencia,neutral,8,0
1,27,F,reunion,neutral,8,0
1,27,F,simposio,neutral,8,0
1,27,F,invitados,neutral,8,0
1,27,F,terrorista,eodd,9,-6
1,27,F,publico,neutral,9,0
1,27,F,terminal,neutral,9,0
1,27,F,concierto,neutral,9,0
1,27,F,trafico,neutral,9,-6
1,27,F,teatro,neutral,9,0
1,27,F,estadio,neutral,9,0
1,27,F,aeropuerto,neutral,9,0
1,27,F,estacion,neutral,9,0
1,27,F,metro,neutral,9,0
1,27,F,avion,neutral,9,0
1,27,F,encuentro,neutral,9,6
1,27,F,festival,neutral,9,6
1,27,F,pasajero,neutral,9,0
1,27,F,suicida,eodd,10,-6
1,27,F,altura,neutral,10,6
1,27,F,torre,neutral,10,0
1,27,F,brinco,neutral,10,0
