list1,list2,Var3,Var4
3,,3,arroz
11,,3,granjero
1,,3,cultivo
9,,3,gestarse
7,,3,tractor
2,,3,cosecha
10,po,3,prado
0,,3,harina
8,,3,cebada
4,,3,cereales
0,,3,semilla
5,cp,3,ma�z
0,,3,trigo
6,,3,maizal
