list1,list2,Var3,Var4
0,,4,entrenador
1,,4,alpinista
0,,4,carrera
0,,4,gimnasio
0,,4,movimiento
3,,4,deporte
0,,4,mantenimiento
2,eo,4,parapl�jico
0,,4,ciclista
4,,4,aer�bic
0,,4,caminata
0,ce,4,ejercicio
0,,4,atleta
5,,4,corredor
