subject,oddballtype,transition,direction,wordposition,CRP
29,amn,to,Backwards,3,0.5
30,amn,to,Backwards,3,NaN
31,amn,to,Backwards,3,0
32,amn,to,Backwards,3,0
33,amn,to,Backwards,3,NaN
34,amn,to,Backwards,3,0
35,amn,to,Backwards,3,0
36,amn,to,Backwards,3,0
37,amn,to,Backwards,3,0
38,amn,to,Backwards,3,0
39,amn,to,Backwards,3,NaN
40,amn,to,Backwards,3,1
41,amn,to,Backwards,3,NaN
42,amn,to,Backwards,3,0
43,amn,to,Backwards,3,NaN
44,amn,to,Backwards,3,NaN
45,amn,to,Backwards,3,0
46,amn,to,Backwards,3,NaN
47,amn,to,Backwards,3,1
48,amn,to,Backwards,3,NaN
49,amn,to,Backwards,3,NaN
50,amn,to,Backwards,3,0
51,amn,to,Backwards,3,0.5
52,amn,to,Backwards,3,NaN
53,amn,to,Backwards,3,NaN
54,amn,to,Backwards,3,0
55,amn,to,Backwards,3,NaN
56,amn,to,Backwards,3,1
57,amn,to,Backwards,3,NaN
58,amn,to,Backwards,3,NaN
59,amn,to,Backwards,3,NaN
60,amn,to,Backwards,3,NaN
61,amn,to,Backwards,3,0
62,amn,to,Backwards,3,0
63,amn,to,Backwards,3,0
64,amn,to,Backwards,3,0.5
65,amn,to,Backwards,3,NaN
66,amn,to,Backwards,3,0
67,amn,to,Backwards,3,0
68,amn,to,Backwards,3,0
69,amn,to,Backwards,3,1
70,amn,to,Backwards,3,NaN
71,amn,to,Backwards,3,NaN
73,amn,to,Backwards,3,NaN
74,amn,to,Backwards,3,0
75,amn,to,Backwards,3,0
4,amn,to,Backwards,2,NaN
5,amn,to,Backwards,2,0
6,amn,to,Backwards,2,NaN
7,amn,to,Backwards,2,NaN
9,amn,to,Backwards,2,0.5
10,amn,to,Backwards,2,0.5
11,amn,to,Backwards,2,NaN
12,amn,to,Backwards,2,NaN
14,amn,to,Backwards,2,NaN
15,amn,to,Backwards,2,0
16,amn,to,Backwards,2,NaN
17,amn,to,Backwards,2,0
18,amn,to,Backwards,2,0.25
19,amn,to,Backwards,2,1
